"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"augustus_masked-scaffold287-size231392-abinit-gene-1.9-mRNA-1","04317","4317",0.065,1348.2,397.8,0.0783,0.0059,0.0757,8,30.1
"maker-scaffold287-size231392-augustus-gene-1.29-mRNA-1","04319","4319",0.04,1353.2,413.8,0.0703,0.0033,0.0468,4.5,19.4
"maker-scaffold287-size231392-augustus-gene-1.28-mRNA-1","04320","4320",0.084,2118,561,0.0636,0.0069,0.1079,14.5,60.5
"augustus_masked-scaffold287-size231392-abinit-gene-1.7-mRNA-1","04322","4322",0.081,304.3,97.7,0.0461,0.0045,0.0967,1.4,9.4
"augustus_masked-scaffold287-size231392-abinit-gene-1.11-mRNA-1","04323","4323",0.026,683.7,150.3,0.0793,0.0028,0.0347,1.9,5.2
"maker-scaffold287-size231392-augustus-gene-1.35-mRNA-1","04325","4325",0.098,1117.3,307.7,0.0982,0.011,0.1119,12.3,34.4
"maker-scaffold287-size231392-snap-gene-2.13-mRNA-1","04328","4328",0.054,1198,305,0.037,0.0029,0.0776,3.4,23.7
"maker-scaffold1289-size26925-snap-gene-0.12-mRNA-1","04335","4335",0.05,2000,532,0.063,0.0041,0.0643,8.1,34.2
"maker-scaffold3079-size44279-augustus-gene-0.9-mRNA-1","04337","4337",0.093,540.2,143.8,0.0513,0.0063,0.1235,3.4,17.8
"maker-scaffold262-size57309-augustus-gene-0.21-mRNA-1","04339","4339",0.096,361.5,124.5,0.0751,0.0077,0.1027,2.8,12.8
"maker-scaffold262-size57309-augustus-gene-0.22-mRNA-1","04341","4341",0.14,547.8,193.2,0.0839,0.0121,0.1445,6.6,27.9
"snap_masked-scaffold262-size57309-abinit-gene-0.11-mRNA-1","04342","4342",0.042,520.5,148.5,0.0427,0.0024,0.0553,1.2,8.2
"snap_masked-scaffold262-size57309-abinit-gene-0.12-mRNA-1","04344","4344",0.036,1169.4,327.6,0.0202,0.001,0.0516,1.2,16.9
"maker-scaffold262-size57309-augustus-gene-0.25-mRNA-1","04345","4345",0.122,912.7,281.3,0.1568,0.0179,0.114,16.3,32.1
"maker-scaffold1403-size30720-augustus-gene-0.3-mRNA-1","04350","4350",0.054,487.9,160.1,0.0246,0.0017,0.0675,0.8,10.8
"maker-scaffold3295-size15298-snap-gene-0.10-mRNA-1","04353","4353",0.131,708.5,212.5,0.1292,0.0171,0.132,12.1,28.1
"maker-scaffold3295-size15298-augustus-gene-0.6-mRNA-1","04354","4354",0.068,774.5,230.5,0.0544,0.0046,0.0839,3.5,19.3
"maker-scaffold3295-size15298-augustus-gene-0.8-mRNA-1","04355","4355",0.094,1002.1,350.9,0.116,0.0105,0.0907,10.5,31.8
"maker-scaffold908-size64100-snap-gene-0.13-mRNA-1","04359","4359",0.075,2352.9,707.1,0.094,0.0077,0.0821,18.2,58.1
"augustus_masked-scaffold926-size20416-abinit-gene-0.0-mRNA-1","04363","4363",0.163,748.9,232.1,0.0808,0.0147,0.1825,11,42.4
"augustus_masked-scaffold926-size20416-abinit-gene-0.2-mRNA-1","04364","4364",0.095,337.6,91.4,0.0277,0.0037,0.1341,1.3,12.3
"maker-scaffold926-size20416-augustus-gene-0.8-mRNA-1","04365","4365",0.04,1647.1,515.9,0.0358,0.0018,0.0503,3,25.9
"augustus_masked-scaffold926-size20416-abinit-gene-0.1-mRNA-1","04366","4366",0.165,334.7,88.3,0.0129,0.0032,0.251,1.1,22.2
"maker-scaffold164-size85093-snap-gene-0.23-mRNA-1","04369","4369",0.053,1402,479,0.0706,0.0041,0.0577,5.7,27.6
"maker-scaffold164-size85093-snap-gene-0.25-mRNA-1","04371","4371",0.028,805,239,0.0649,0.0022,0.0338,1.8,8.1
"maker-scaffold164-size85093-snap-gene-0.22-mRNA-1","04373","4373",0.022,455.6,159.4,0.0563,0.0014,0.0244,0.6,3.9
"maker-scaffold164-size85093-snap-gene-0.24-mRNA-1","04374","4374",0.073,4886,1618,0.0582,0.0048,0.0828,23.6,133.9
"maker-scaffold164-size85093-snap-gene-0.26-mRNA-1","04377","4377",0.043,2769.6,827.4,0.0385,0.0021,0.0557,5.9,46.1
"augustus_masked-scaffold215-size92894-abinit-gene-0.16-mRNA-1","04378","4378",0.057,1058.6,291.4,1e-04,0,0.0881,0,25.7
"maker-scaffold215-size92894-augustus-gene-0.43-mRNA-1","04379","4379",0.065,699.7,263.3,0.0844,0.0055,0.0648,3.8,17.1
"maker-scaffold215-size92894-snap-gene-0.54-mRNA-1","04381","4381",0.123,2195.5,549.5,0.026,0.0048,0.186,10.6,102.2
"maker-scaffold215-size92894-augustus-gene-0.42-mRNA-1","04382","4382",0.022,1006.9,301.1,0.0102,3e-04,0.0302,0.3,9.1
"maker-scaffold215-size92894-augustus-gene-0.44-mRNA-1","04383","4383",0.031,488.9,174.1,0.0796,0.0026,0.0326,1.3,5.7
"maker-scaffold215-size92894-augustus-gene-0.41-mRNA-1","04387","4387",0.041,887.8,285.2,0.0572,0.0028,0.0482,2.4,13.7
"augustus_masked-scaffold215-size92894-abinit-gene-0.8-mRNA-1","04388","4388",0.044,817.9,292.1,1e-04,0,0.0559,0,16.3
"maker-scaffold215-size92894-snap-gene-0.66-mRNA-1","04389","4389",0.168,1067.5,360.5,0.0968,0.0167,0.1725,17.8,62.2
"maker-scaffold215-size92894-augustus-gene-0.50-mRNA-1","04390","4390",0.075,545.9,249.1,0.0686,0.0048,0.0695,2.6,17.3
"maker-scaffold215-size92894-augustus-gene-0.49-mRNA-1","04393","4393",0.103,858.3,305.7,0.0582,0.0066,0.1127,5.6,34.4
"maker-scaffold3732-size11149-augustus-gene-0.2-mRNA-1","04397","4397",0.013,484.5,136.5,0.0788,0.0012,0.0156,0.6,2.1
"maker-scaffold1383-size45068-snap-gene-0.13-mRNA-1","04398","4398",0.036,974.1,273.9,0.0644,0.0028,0.0441,2.8,12.1
"augustus_masked-scaffold1383-size45068-abinit-gene-0.2-mRNA-1","04400","4400",0.47,284,190,0.0847,0.0294,0.3472,8.4,66
"maker-scaffold157-size67949-augustus-gene-0.14-mRNA-1","04405","4405",0.075,2683.6,784.4,0.051,0.0048,0.0945,12.9,74.1
"augustus_masked-scaffold157-size67949-abinit-gene-0.3-mRNA-1","04407","4407",0.049,220,65,0.0024,2e-04,0.0713,0,4.6
"maker-scaffold786-size57107-augustus-gene-0.25-mRNA-1","04415","4415",0.14,603.1,149.9,0.0674,0.0125,0.185,7.5,27.7
"snap_masked-scaffold786-size57107-abinit-gene-0.23-mRNA-1","04416","4416",0.127,364.9,124.1,0.0293,0.0045,0.1531,1.6,19
"maker-scaffold786-size57107-augustus-gene-0.27-mRNA-1","04417","4417",0.047,991.1,313.9,0.0307,0.0018,0.0594,1.8,18.7
"maker-scaffold786-size57107-augustus-gene-0.29-mRNA-1","04420","4420",0.101,1523.2,351.8,0.0719,0.0098,0.1363,14.9,48
"augustus_masked-scaffold786-size57107-abinit-gene-0.11-mRNA-1","04422","4422",0.056,429.9,119.1,0.0086,7e-04,0.083,0.3,9.9
"snap_masked-scaffold786-size57107-abinit-gene-0.17-mRNA-1","04423","4423",0.106,3389.1,816.9,0.0496,0.0075,0.1515,25.5,123.8
"augustus_masked-scaffold786-size57107-abinit-gene-0.8-mRNA-1","04424","4424",0.046,329.1,84.9,0.07,0.0041,0.059,1.4,5
"augustus_masked-scaffold786-size57107-abinit-gene-0.5-mRNA-1","04425","4425",0.072,580.4,163.6,0.017,0.0017,0.1024,1,16.7
"maker-scaffold3321-size7507-snap-gene-0.6-mRNA-1","04428","4428",0.126,2067.4,584.6,0.2227,0.0238,0.1067,49.1,62.4
"augustus_masked-scaffold3567-size11555-abinit-gene-0.1-mRNA-1","04430","4430",0.151,199.1,49.9,0.0307,0.0069,0.2234,1.4,11.2
"augustus_masked-scaffold3567-size11555-abinit-gene-0.3-mRNA-1","04431","4431",0.057,181.7,28.3,0.0193,0.0024,0.1251,0.4,3.5
"maker-scaffold3567-size11555-augustus-gene-0.8-mRNA-1","04432","4432",0.1,1235,298,0.072,0.0095,0.1317,11.7,39.2
"maker-scaffold2308-size20688-snap-gene-0.0-mRNA-1","04433","4433",0.069,629.8,225.2,0.0379,0.003,0.0792,1.9,17.8
"snap_masked-scaffold2644-size26417-abinit-gene-0.3-mRNA-1","04440","4440",0.078,199.8,76.2,0.1262,0.0089,0.0708,1.8,5.4
"maker-scaffold492-size63007-snap-gene-0.16-mRNA-1","04441","4441",0.085,3240.5,476.5,0.0205,0.004,0.195,13,92.9
"maker-scaffold492-size63007-snap-gene-0.17-mRNA-1","04442","4442",0.089,835.1,244.9,0.1248,0.0114,0.0917,9.6,22.5
"augustus_masked-scaffold492-size63007-abinit-gene-0.2-mRNA-1","04444","4444",0.039,3348.8,923.2,0.0251,0.0014,0.0558,4.7,51.6
"augustus_masked-scaffold463-size102327-abinit-gene-0.1-mRNA-1","04448","4448",0.073,1964.5,708.5,0.0474,0.0039,0.0814,7.6,57.6
"maker-scaffold463-size102327-augustus-gene-0.20-mRNA-1","04449","4449",0.052,769.3,268.7,0.1044,0.0054,0.0517,4.2,13.9
"augustus_masked-scaffold463-size102327-abinit-gene-0.6-mRNA-1","04450","4450",0.072,1467.2,380.8,0.0901,0.0078,0.0865,11.4,33
"augustus_masked-scaffold2701-size22807-abinit-gene-0.0-mRNA-1","04452","4452",0.067,1301.4,324.6,0.0686,0.006,0.0872,7.8,28.3
"maker-scaffold2701-size22807-augustus-gene-0.5-mRNA-1","04453","4453",0.029,558.3,128.7,0.0315,0.0014,0.0457,0.8,5.9
"maker-scaffold710-size86113-augustus-gene-0.14-mRNA-1","04454","4454",0.199,1395.6,467.4,0.1426,0.0264,0.185,36.8,86.5
"augustus_masked-scaffold710-size86113-abinit-gene-0.5-mRNA-1","04457","4457",0.098,2517.9,713.1,0.0798,0.0092,0.1157,23.2,82.5
"augustus_masked-scaffold2120-size12052-abinit-gene-0.0-mRNA-1","04458","4458",0.02,1754.3,471.7,0.1026,0.0024,0.0232,4.2,11
"maker-scaffold1298-size25921-augustus-gene-0.20-mRNA-1","04459","4459",0.119,1281.2,347.8,0.0549,0.0085,0.1545,10.9,53.7
"maker-scaffold1298-size25921-snap-gene-0.24-mRNA-1","04460","4460",0.037,409.5,148.5,0.0505,0.0021,0.0406,0.8,6
"maker-scaffold1298-size25921-snap-gene-0.22-mRNA-1","04461","4461",0.102,881.7,285.3,0.0894,0.0097,0.1088,8.6,31
"maker-scaffold1298-size25921-augustus-gene-0.17-mRNA-1","04462","4462",0.089,920.9,297.1,0.047,0.005,0.1061,4.6,31.5
"snap_masked-scaffold1298-size25921-abinit-gene-0.14-mRNA-1","04463","4463",0.096,543.2,167.8,0.1394,0.0131,0.0938,7.1,15.7
"augustus_masked-scaffold1298-size25921-abinit-gene-0.3-mRNA-1","04464","4464",0.144,204.8,56.2,0.0702,0.0125,0.1775,2.6,10
"snap_masked-scaffold1298-size25921-abinit-gene-0.10-mRNA-1","04465","4465",0.027,176.2,60.8,0.1104,0.003,0.027,0.5,1.6
"augustus_masked-scaffold4841-size3286-abinit-gene-0.0-mRNA-1","04483","4483",0.106,835.7,280.3,0.0221,0.0029,0.132,2.4,37
"maker-scaffold1010-size29458-augustus-gene-0.14-mRNA-1","04490","4490",0.043,1072.2,274.8,0.0444,0.0026,0.0593,2.8,16.3
"augustus_masked-scaffold1010-size29458-abinit-gene-0.3-mRNA-1","04493","4493",0.07,847.7,250.3,0.0262,0.0025,0.0945,2.1,23.6
"maker-scaffold1010-size29458-augustus-gene-0.16-mRNA-1","04494","4494",0.081,368.7,99.3,0.1079,0.0099,0.0913,3.6,9.1
"snap_masked-scaffold1498-size25821-abinit-gene-0.5-mRNA-1","04497","4497",0.052,531.3,149.7,0.0808,0.005,0.0614,2.6,9.2
"snap_masked-scaffold1498-size25821-abinit-gene-0.4-mRNA-1","04498","4498",0.047,414.2,131.8,0.1518,0.0067,0.0442,2.8,5.8
"maker-scaffold1405-size42194-augustus-gene-0.9-mRNA-1","04501","4501",0.111,1512.8,503.2,0.0524,0.0067,0.1285,10.2,64.7
"maker-scaffold1405-size42194-snap-gene-0.13-mRNA-1","04502","4502",0.061,949.2,253.8,0.0729,0.0056,0.0763,5.3,19.4
"maker-scaffold1405-size42194-snap-gene-0.15-mRNA-1","04503","4503",0.036,1181.1,414.9,0.0185,8e-04,0.0442,1,18.4
"maker-scaffold305-size120479-snap-gene-0.52-mRNA-1","04505","4505",0.04,688.8,223.2,0.1103,0.0045,0.0411,3.1,9.2
"augustus_masked-scaffold305-size120479-abinit-gene-0.4-mRNA-1","04506","4506",0.102,488.5,87.5,0.0336,0.0063,0.1881,3.1,16.5
"maker-scaffold305-size120479-snap-gene-0.56-mRNA-1","04508","4508",0.125,1688.7,462.3,0.0948,0.0136,0.1436,23,66.4
"augustus_masked-scaffold305-size120479-abinit-gene-0.9-mRNA-1","04509","4509",0.078,495.3,125.7,0.0686,0.007,0.1017,3.5,12.8
"maker-scaffold305-size120479-augustus-gene-0.39-mRNA-1","04510","4510",0.03,515,181,0.014,5e-04,0.037,0.3,6.7
"maker-scaffold305-size120479-augustus-gene-0.38-mRNA-1","04511","4511",0.111,604.3,217.7,0.0834,0.0095,0.1135,5.7,24.7
"augustus_masked-scaffold305-size120479-abinit-gene-0.10-mRNA-1","04512","4512",0.033,756.4,218.6,0.0412,0.0018,0.0428,1.3,9.4
"maker-scaffold305-size120479-augustus-gene-0.49-mRNA-1","04519","4519",0.067,350.3,132.7,0.0106,8e-04,0.0795,0.3,10.6
"maker-scaffold305-size120479-augustus-gene-0.45-mRNA-1","04520","4520",0.143,306.1,86.9,0.1424,0.0204,0.1433,6.2,12.5
"maker-scaffold305-size120479-augustus-gene-0.46-mRNA-1","04521","4521",0.093,894.5,305.5,0.0931,0.0089,0.0956,8,29.2
"maker-scaffold305-size120479-snap-gene-0.62-mRNA-1","04522","4522",0.056,175.2,46.8,0.014,0.0012,0.0848,0.2,4
"maker-scaffold305-size120479-snap-gene-1.21-mRNA-1","04525","4525",0.109,662.9,198.1,0.1174,0.0134,0.1138,8.9,22.5
"augustus_masked-scaffold305-size120479-abinit-gene-1.5-mRNA-1","04528","4528",0.099,458.7,138.3,0.0901,0.0099,0.1098,4.5,15.2
"maker-scaffold305-size120479-augustus-gene-1.18-mRNA-1","04529","4529",0.018,906.1,284.9,0.0481,0.001,0.0216,0.9,6.1
"maker-scaffold1114-size31358-augustus-gene-0.8-mRNA-1","04533","4533",0.043,1354,428,0.0309,0.0017,0.0539,2.3,23.1
"maker-scaffold1114-size31358-augustus-gene-0.9-mRNA-1","04534","4534",0.108,501.3,155.7,0.0296,0.0041,0.1393,2.1,21.7
"maker-scaffold1114-size31358-augustus-gene-0.10-mRNA-1","04536","4536",0.163,562.9,193.1,0.1074,0.0174,0.162,9.8,31.3
"augustus_masked-scaffold1114-size31358-abinit-gene-0.2-mRNA-1","04537","4537",0.135,849.5,239.5,0.1296,0.0181,0.1399,15.4,33.5
"snap_masked-scaffold1472-size17410-abinit-gene-0.2-mRNA-1","04541","4541",0.084,1401,384,0.136,0.0119,0.0873,16.6,33.5
"augustus_masked-scaffold466-size49390-abinit-gene-0.0-mRNA-1","04546","4546",0.028,458.9,126.1,0.0421,0.0016,0.038,0.7,4.8
"maker-scaffold466-size49390-augustus-gene-0.8-mRNA-1","04548","4548",0.097,267.2,71.8,0.0397,0.0053,0.1327,1.4,9.5
"augustus_masked-scaffold2203-size19784-abinit-gene-0.0-mRNA-1","04549","4549",0.037,1576.4,481.6,0.0672,0.0029,0.0426,4.5,20.5
"maker-scaffold297-size55902-snap-gene-0.23-mRNA-1","04551","4551",0.084,1008.6,341.4,0.1065,0.009,0.0841,9,28.7
"maker-scaffold297-size55902-snap-gene-0.28-mRNA-1","04553","4553",0.178,2995.6,841.4,0.0852,0.0177,0.2074,53,174.5
"augustus_masked-scaffold297-size55902-abinit-gene-0.2-mRNA-1","04555","4555",0.058,1370.7,471.3,0.0692,0.0043,0.0628,6,29.6
"maker-scaffold297-size55902-augustus-gene-0.21-mRNA-1","04556","4556",0.036,2753.7,672.3,0.0311,0.0017,0.0537,4.6,36.1
"augustus_masked-scaffold720-size40553-abinit-gene-0.5-mRNA-1","04562","4562",0.057,517.7,172.3,0.0226,0.0016,0.0708,0.8,12.2
"maker-scaffold720-size40553-snap-gene-0.16-mRNA-1","04565","4565",0.103,907.5,229.5,0.0908,0.0114,0.1253,10.3,28.8
"augustus_masked-scaffold433-size71717-abinit-gene-0.3-mRNA-1","04567","4567",0.09,3638.5,1023.5,0.0885,0.0092,0.1043,33.6,106.7
"maker-scaffold2838-size16729-augustus-gene-0.9-mRNA-1","04573","4573",0.043,589.2,160.8,0.0204,0.0013,0.0624,0.8,10
"maker-scaffold2838-size16729-snap-gene-0.11-mRNA-1","04574","4574",0.064,1192.4,328.6,0.0877,0.0066,0.0754,7.9,24.8
"augustus_masked-scaffold1978-size31250-abinit-gene-0.0-mRNA-1","04575","4575",0.107,449.6,129.4,0.0524,0.007,0.1344,3.2,17.4
"augustus_masked-scaffold1978-size31250-abinit-gene-0.1-mRNA-1","04576","4576",0.046,750.7,215.3,0.142,0.0066,0.0465,5,10
"augustus_masked-scaffold811-size79825-abinit-gene-0.12-mRNA-1","04579","4579",0.072,719.8,258.2,0.0459,0.0037,0.0803,2.7,20.7
"augustus_masked-scaffold811-size79825-abinit-gene-0.8-mRNA-1","04584","4584",0.009,1072.4,367.6,0.0115,1e-04,0.0112,0.1,4.1
"maker-scaffold811-size79825-augustus-gene-0.40-mRNA-1","04586","4586",0.081,1964.3,645.7,0.0223,0.0023,0.1027,4.5,66.3
"maker-scaffold811-size79825-snap-gene-0.49-mRNA-1","04587","4587",0.088,481,158,0.0362,0.0039,0.1064,1.9,16.8
"snap_masked-scaffold811-size79825-abinit-gene-0.21-mRNA-1","04589","4589",0.077,275.6,87.4,0.1154,0.009,0.0781,2.5,6.8
"snap_masked-scaffold208-size62312-abinit-gene-0.4-mRNA-1","04593","4593",0.01,342.8,98.2,0.0679,9e-04,0.0126,0.3,1.2
"maker-scaffold208-size62312-augustus-gene-0.8-mRNA-1","04594","4594",0.044,546.9,128.1,0.1569,0.0072,0.0459,3.9,5.9
"maker-scaffold2274-size29776-augustus-gene-0.6-mRNA-1","04599","4599",0.068,921.9,308.1,0.0991,0.007,0.0701,6.4,21.6
"maker-scaffold2274-size29776-snap-gene-0.12-mRNA-1","04602","4602",0.034,453,144,0.1219,0.0041,0.034,1.9,4.9
"maker-scaffold1468-size15967-augustus-gene-0.6-mRNA-1","04603","4603",0.096,1312.8,382.2,0.0471,0.0058,0.1223,7.6,46.8
"maker-scaffold1468-size15967-snap-gene-0.10-mRNA-1","04604","4604",0.096,860.9,213.1,0.0074,0.0012,0.1564,1,33.3
"maker-scaffold1468-size15967-augustus-gene-0.7-mRNA-1","04605","4605",0.1,1835.1,573.9,0.0811,0.009,0.1108,16.5,63.6
"maker-scaffold1353-size45576-augustus-gene-0.8-mRNA-1","04606","4606",0.092,169.2,61.8,0.0646,0.0063,0.0974,1.1,6
"maker-scaffold1353-size45576-augustus-gene-0.10-mRNA-1","04608","4608",0.039,1108.4,340.6,0.0773,0.0034,0.0446,3.8,15.2
"maker-scaffold1353-size45576-augustus-gene-0.11-mRNA-1","04609","4609",0.043,1366,425,0.032,0.0017,0.0546,2.4,23.2
"maker-scaffold1141-size97434-snap-gene-0.17-mRNA-1","04611","4611",0.065,2499.2,695.8,0.0375,0.0033,0.0874,8.2,60.8
"maker-scaffold1307-size30199-augustus-gene-0.17-mRNA-1","04613","4613",0.112,460.4,169.6,0.0554,0.0067,0.1204,3.1,20.4
"augustus_masked-scaffold1307-size30199-abinit-gene-0.6-mRNA-1","04614","4614",0.047,882.4,242.6,0.0556,0.0034,0.061,3,14.8
"augustus_masked-scaffold1307-size30199-abinit-gene-0.2-mRNA-1","04617","4617",0.036,637.2,256.8,0.073,0.0026,0.0355,1.6,9.1
"maker-scaffold1307-size30199-augustus-gene-0.19-mRNA-1","04618","4618",0.058,779.6,249.4,0.0562,0.0038,0.0681,3,17
"maker-scaffold2826-size15380-augustus-gene-0.2-mRNA-1","04621","4621",0.109,525.9,152.1,0.2197,0.0202,0.0921,10.6,14
"augustus_masked-scaffold705-size46667-abinit-gene-0.3-mRNA-1","04622","4622",0.038,257.9,63.1,0.0318,0.0018,0.0563,0.5,3.6
"snap_masked-scaffold705-size46667-abinit-gene-0.12-mRNA-1","04623","4623",0.038,1427,343,0.0698,0.0035,0.0503,5,17.3
"snap_masked-scaffold705-size46667-abinit-gene-0.11-mRNA-1","04625","4625",0.054,427.3,112.7,0.0424,0.0031,0.0741,1.3,8.4
"maker-scaffold705-size46667-augustus-gene-0.19-mRNA-1","04627","4627",0.039,950.4,297.6,0.0838,0.0036,0.0432,3.4,12.9
"maker-scaffold705-size46667-augustus-gene-0.17-mRNA-1","04630","4630",0.091,2050.4,601.6,0.1515,0.0134,0.0883,27.4,53.2
"augustus_masked-scaffold705-size46667-abinit-gene-0.4-mRNA-1","04631","4631",0.117,657.6,221.4,0.1325,0.0147,0.1108,9.7,24.5
"maker-scaffold1018-size132708-augustus-gene-0.19-mRNA-1","04634","4634",0.019,1234.4,376.6,0.063,0.0014,0.0227,1.8,8.6
"maker-scaffold1018-size132708-augustus-gene-0.20-mRNA-1","04635","4635",0.056,1032.9,290.1,0.0553,0.0039,0.0708,4,20.6
"maker-scaffold1018-size132708-augustus-gene-0.25-mRNA-1","04637","4637",0.1,2025.9,389.1,0.051,0.0084,0.1638,16.9,63.7
"augustus_masked-scaffold1018-size132708-abinit-gene-0.3-mRNA-1","04640","4640",0.161,1127.2,333.8,0.1243,0.0206,0.1655,23.2,55.2
"snap_masked-scaffold1018-size132708-abinit-gene-0.14-mRNA-1","04642","4642",0.098,1240.8,391.2,0.0828,0.0089,0.1074,11,42
"augustus_masked-scaffold1085-size35434-abinit-gene-0.0-mRNA-1","04645","4645",0.127,541,149,0.0723,0.0112,0.1552,6.1,23.1
"augustus_masked-scaffold1085-size35434-abinit-gene-0.2-mRNA-1","04647","4647",0.116,2321.3,699.7,0.1013,0.0127,0.1249,29.4,87.4
"augustus_masked-scaffold1979-size11015-abinit-gene-0.0-mRNA-1","04648","4648",0.114,620.6,183.4,0.1648,0.0176,0.1066,10.9,19.6
"augustus_masked-scaffold6849-size1830-abinit-gene-0.0-mRNA-1","04654","4654",0.024,653.6,171.4,0.0241,8e-04,0.035,0.6,6
"maker-scaffold3634-size7823-augustus-gene-0.4-mRNA-1","04656","4656",0.086,753.1,221.9,0.0418,0.0046,0.1108,3.5,24.6
"maker-scaffold82-size64957-augustus-gene-0.11-mRNA-1","04658","4658",0.136,794.2,210.8,0.0969,0.0154,0.1585,12.2,33.4
"maker-scaffold141-size58288-snap-gene-0.20-mRNA-1","04664","4664",0.079,1668.4,455.6,0.0645,0.0064,0.099,10.6,45.1
"maker-scaffold102-size108901-snap-gene-0.35-mRNA-1","04667","4667",0.119,1921.4,643.6,0.1077,0.0129,0.1199,24.8,77.2
"augustus_masked-scaffold102-size108901-abinit-gene-0.2-mRNA-1","04668","4668",0.119,1740.1,461.9,0.0819,0.0119,0.1451,20.7,67
"maker-scaffold102-size108901-augustus-gene-0.26-mRNA-1","04669","4669",0.098,997.1,283.9,0.0735,0.0086,0.1173,8.6,33.3
"maker-scaffold102-size108901-augustus-gene-0.25-mRNA-1","04670","4670",0.135,689.5,186.5,0.0749,0.0124,0.165,8.5,30.8
"maker-scaffold102-size108901-snap-gene-0.34-mRNA-1","04671","4671",0.065,135.3,44.7,0.1205,0.0078,0.0644,1,2.9
"augustus_masked-scaffold102-size108901-abinit-gene-0.5-mRNA-1","04672","4672",0.173,154.2,46.8,0.006,0.0014,0.2431,0.2,11.4
"maker-scaffold102-size108901-snap-gene-0.40-mRNA-1","04673","4673",0.122,545.4,183.6,0.0257,0.0038,0.1495,2.1,27.4
"maker-scaffold102-size108901-augustus-gene-0.30-mRNA-1","04676","4676",0.091,1190.9,426.1,0.0528,0.0053,0.1005,6.3,42.8
"snap_masked-scaffold357-size140885-abinit-gene-0.7-mRNA-1","04683","4683",0.054,598.9,178.1,0.0537,0.0036,0.0665,2.1,11.8
"maker-scaffold357-size140885-augustus-gene-0.16-mRNA-1","04684","4684",0.07,1357.4,346.6,0.0278,0.0029,0.1039,3.9,36
"maker-scaffold357-size140885-snap-gene-0.18-mRNA-1","04685","4685",0.052,1220.6,336.4,0.0351,0.0025,0.0711,3,23.9
"maker-scaffold357-size140885-snap-gene-0.21-mRNA-1","04686","4686",0.027,1351.2,451.8,0.0233,8e-04,0.0342,1.1,15.4
"augustus_masked-scaffold393-size148640-abinit-gene-0.0-mRNA-1","04689","4689",0.103,766.6,223.4,0.0688,0.0085,0.1232,6.5,27.5
"maker-scaffold393-size148640-augustus-gene-1.28-mRNA-1","04694","4694",0.098,1995.3,545.7,0.0636,0.0078,0.123,15.6,67.1
"maker-scaffold393-size148640-snap-gene-1.40-mRNA-1","04695","4695",0.009,395.6,99.4,0.0269,4e-04,0.0136,0.1,1.3
"snap_masked-scaffold393-size148640-abinit-gene-1.11-mRNA-1","04700","4700",0.013,316.5,85.5,0.0438,8e-04,0.0178,0.2,1.5
"snap_masked-scaffold393-size148640-abinit-gene-1.23-mRNA-1","04702","4702",0.039,2112.3,689.7,0.0047,2e-04,0.0515,0.5,35.5
"maker-scaffold393-size148640-augustus-gene-1.33-mRNA-1","04704","4704",0.06,1834,536,0.085,0.0058,0.0682,10.6,36.6
"maker-scaffold393-size148640-augustus-gene-1.34-mRNA-1","04706","4706",0.108,2354.1,678.9,0.0893,0.011,0.1229,25.8,83.4
"maker-scaffold2243-size26307-augustus-gene-0.5-mRNA-1","04709","4709",0.056,1914,519,0.054,0.0039,0.0724,7.5,37.6
"augustus_masked-scaffold722-size43366-abinit-gene-0.0-mRNA-1","04712","4712",0.15,1388.2,270.8,0.1152,0.0222,0.1923,30.8,52.1
"maker-scaffold722-size43366-augustus-gene-0.12-mRNA-1","04713","4713",0.093,511.8,148.2,0.0221,0.0028,0.1277,1.4,18.9
"maker-scaffold4231-size5770-snap-gene-0.4-mRNA-1","04714","4714",0.063,397.9,94.1,0.0608,0.0053,0.0867,2.1,8.2
"maker-scaffold4709-size8149-augustus-gene-0.0-mRNA-1","04718","4718",0.136,270.8,68.2,0.007,0.0015,0.2198,0.4,15
"augustus_masked-scaffold977-size73884-abinit-gene-0.0-mRNA-1","04719","4719",0.156,981.4,200.6,0.0395,0.0101,0.2561,9.9,51.4
"maker-scaffold977-size73884-snap-gene-0.20-mRNA-1","04720","4720",0.07,322,53,0.0097,0.0015,0.1548,0.5,8.2
"maker-scaffold617-size41908-augustus-gene-0.9-mRNA-1","04727","4727",0.076,390.7,98.3,0.0452,0.0048,0.1066,1.9,10.5
"maker-scaffold617-size41908-augustus-gene-0.10-mRNA-1","04728","4728",0.139,840.3,209.7,0.0662,0.0122,0.1836,10.2,38.5
"maker-scaffold617-size41908-augustus-gene-0.12-mRNA-1","04729","4729",0.164,395.3,111.7,0.1069,0.0193,0.1805,7.6,20.2
"snap_masked-scaffold617-size41908-abinit-gene-0.6-mRNA-1","04730","4730",0.137,732.6,197.4,0.084,0.0137,0.1635,10.1,32.3
"maker-scaffold121-size91240-augustus-gene-0.32-mRNA-1","04736","4736",0.044,1441.6,418.4,0.067,0.0035,0.0525,5.1,22
